Name,Latitude,Longitude
Delft,52.0114017,4.35839
The Hague,52.0799838,4.3113461
Rotterdam,51.9244424,4.47775
Schipluiden,51.9774012,4.3156816
Leiden,52.1594747,4.4908843
Gouda,52.0114922,4.7106094
Utrecht,52.0907006,5.1215634
Amsterdam,52.3730796,4.8924534
Maastricht,50.8512438,5.6909768
Valkenburg,50.8647531,5.8312518
Antwerp,51.2211097,4.3997081
Brussels,50.8467372,4.352493
Chamonix,45.9238,6.8693
Bern,46.94745636,7.438807964
Lausanne,46.5218269,6.6327025
Interlaken,46.683928,7.863784
Geneva,46.2017559,6.1466014
Basel,47.5581077,7.5878261
Zurich,47.3744489,8.5410422
Lucerne,47.052144,8.3058123
St Gallen,47.425618,9.3762397
Appenzell,47.3299506,9.4099311
Grindelwald,46.6242733,8.0367462
Lauterbrunnen,46.5939043,7.9078016
Zermatt,46.0212076,7.749254
Gruyeres,46.5893,7.085232
Vevey,46.4602978,6.8418655
Thun,46.7582827,7.628086
Kandersteg,46.4975866,7.6756638
Jungfraujoch,46.5475788,7.9789741
Einsiedeln,47.1286095,8.7500299
Murren,46.558764,7.893356
Montreal,45.5031824,-73.5698065
Quebec city,46.807262,-71.209352
Halifax,44.648618,-63.5859487
Waterloo,43.4652699,-80.5222961
Vancouver,49.2608724,-123.113952
Niagara,43.10664368,-79.06395721
Wolfville,45.0914073,-64.3645102
Lunenburg,44.37836838,-64.41825867
Mahone Bay,44.44928741,-64.38166809
Otterlo,52.10144,5.7722
